Order ID,Order Date,Country,City,Branch,Lat,Lng,Customer First Name,Customer Last Name,Email,Phone Number,Category,Sub Category,Item,SalesPerson ID,Quantity,Unit Price,Discount,Status,total unit sold
13,2023-01-01,USA,las vegas,lv01,36.1699,-115.1398,Muhamad,Eurman,MUHAMAD.EURMAN@MAIL.COM,5011035056,Smartwatch,Fossil Gen,  Fossil Gen 5E  ,N710,1,199.0,19.9,True,199.0
14,2023-01-01,Morocco,casablanca,cs01,33.5731,7.5898,Shahad,Eyd bndqjy,SHAHAD.EYD BNDQJY@MAIL.COM,5066425618,Smartwatch,Garmin Fenix, Garmin   Fenix   7,G033,1,699.0,62.91,True,699.0
15,2023-01-01,Egypt,asyut,at01,27.1809,31.1837,Sahar,Kharasah,Sahar.kharasah@mail.com,5074545757,Tablet,Amazon Fire,   Amazon Fire 7 ,G449,1,49.0,3.43,True,49.0
16,2023-01-01,United Arab Emirates,abu dhabi,ad01,24.4539,54.3773,Muhamad,Zawal,Muhamad.zawal@mail.com,5080748666,Tablet,Samsung Galaxy Tab,  Galaxy  Tab  A7,T351,1,179.0,14.32,True,179.0
17,2023-01-01,France,paris,ps01,48.8566,2.3522,Muhamad,Zaetar,MUHAMAD.ZAETAR@MAIL.COM,5891898352,Headphones,Sennheiser HD, Sennheiser HD 660S ,S691,13,499.0,389.22,True,6487.0
18,2023-01-01,Saudi Arabia,jeddah,jd01,21.5433,39.1728,Muhamad,Byd,muhamad.byd@mail.com,5326430239,Tablet,Lenovo Tab,Lenovo Tab M10 FHD Plus   ,D241,1,229.0,16.03,True,229.0
19,2023-01-01,Saudi Arabia,riyadh,rd01,24.7136,46.6753,Fadi,Ahmad,FADI.AHMAD@MAIL.COM,5923514383,VR Headset,Oculus Rift,Oculus  Rift  S   ,O247,1,399.0,7.98,False,399.0
20,2023-01-01,Saudi Arabia,riyadh,rd02,24.7743,46.7386,Khalid,Dbs,Khalid.dbs@mail.com,5649954933,Headphones,Anker Soundcore, Anker Soundcore Life Q35  ,R252,3,129.0,7.74,False,387.0
21,2023-01-01,Saudi Arabia,aseer,as01,18.2311,42.5004,Akthum,Haydar,akthum.haydar@mail.com,5649217895,Digital Camera,Sony Cyber-shot,Sony  Cyber-shot  RX100  VII   ,S783,1,1199.0,47.96,True,1199.0
22,2023-01-01,USA,new york,ny03,40.7498,-73.9814,Muhamad,Zaqzuq,MUHAMAD.ZAQZUQ@MAIL.COM,5064468564,Headphones,JBL Live,   JBL Live 500BT ,J345,1,99.0,0.0,False,99.0
23,2023-01-01,United Arab Emirates,abu dhabi,ad02,24.4764,54.3705,Rwbyna,Salhany,Rwbyna.salhany@mail.com,5037062257,Headphones,Sony WH, Sony   WH-CH710N   ,H632,1,129.0,0.0,True,129.0
24,2023-01-01,USA,new york,ny03,40.7498,-73.9814,Muwmin,Alsaman,Muwmin.alsaman@mail.com,5114783631,Headphones,Anker Soundcore,Anker Soundcore Liberty Air Pro,Q832,1,99.0,5.94,True,99.0
25,2023-01-01,United Arab Emirates,abu dhabi,ad01,24.4539,54.3773,Jwny,Alrifaei,jwny.alrifaei@mail.com,5073584006,Laptop,Lenovo Legion,Lenovo   Legion   5 ,P653,3,1099.0,32.97,True,3297.0
26,2023-01-01,Syria,damascus,ds02,33.5146,36.3084,Ali,Iismaeil,ALI.IISMAEIL@MAIL.COM,5835136476,Laptop,Apple MacBook,"   MacBook   Air   13""   ",U470,1,999.0,79.92,False,999.0
27,2023-01-01,Egypt,cairo,cr02,30.0444,31.2357,Husam aldiyn,Allaham,Husam Aldiyn.allaham@mail.com,5345184897,Tablet,Amazon Fire,  Amazon Fire HD 10   ,J431,1,149.0,10.43,True,149.0
28,2023-01-01,France,paris,ps01,48.8566,2.3522,Muhamad,Muayid,Muhamad.muayid@mail.com,5142624890,Smartphone,OnePlus, OnePlus  10  Pro  ,W336,1,999.0,79.92,False,999.0
29,2023-01-01,France,paris,ps01,48.8566,2.3522,Ali,Kiwan,ALI.KIWAN@MAIL.COM,5122817846,Fitness Tracker,Fitbit Versa,Fitbit Versa 2  ,V236,2,179.0,10.74,False,358.0
30,2023-01-01,Saudi Arabia,aseer,as01,18.2311,42.5004,Emara,Shiah,Emara.shiah@mail.com,5535880671,Fitness Tracker,Fitbit Versa,  Fitbit  Versa  3 ,X209,2,229.0,22.9,False,458.0
31,2023-01-01,USA,new york,ny01,40.7128,-74.006,Muhamad,Shbyb,muhamad.shbyb@mail.com,5488892188,Smartphone,Samsung Galaxy,Galaxy S21 Ultra,F510,1,1199.0,47.96,False,1199.0
32,2023-01-01,United Arab Emirates,abu dhabi,ad02,24.4764,54.3705,Majd,Eilwan,majd.eilwan@mail.com,5664246524,Headphones,Sennheiser HD,Sennheiser HD 599 SE,Z764,1,199.0,11.94,True,199.0
33,2023-01-01,USA,new york,ny03,40.7498,-73.9814,Rahaf,Iybw,rahaf.iybw@mail.com,5491607554,Digital Camera,Fujifilm X Series,Fujifilm X-T4,W493,3,1699.0,254.85,True,5097.0
34,2023-01-01,USA,washington,wh01,38.9072,-77.0369,Majid,Hishan,majid.hishan@mail.com,5616615542,Tablet,Samsung Galaxy Tab S,Galaxy Tab S7+,L106,1,849.0,50.94,True,849.0
35,2023-01-01,France,paris,ps01,48.8566,2.3522,Asra,Abu,Asra.abu@mail.com,5037538145,Smartwatch,Huawei Watch,Huawei Watch Fit 2 Pro,U646,1,129.0,2.58,False,129.0
36,2023-01-01,USA,las vegas,lv01,36.1699,-115.1398,Muhamad,Alaleppoy,Muhamad.alaleppoy@mail.com,5520558869,Headphones,Bose QuietComfort,QC35 II,W242,1,299.0,17.94,False,299.0
37,2023-01-01,France,paris,ps01,48.8566,2.3522,Majdy,Alqadi,majdy.alqadi@mail.com,5067401556,Smartphone,Xiaomi Mi,Xiaomi Mi 12,Y270,1,799.0,0.0,False,799.0
38,2023-01-01,France,paris,ps01,48.8566,2.3522,Lama,Hadalah,Lama.hadalah@mail.com,5129054297,VR Headset,Pimax Vision,Pimax Vision 5K Super Plus,E365,1,999.0,99.9,True,999.0
39,2023-01-01,USA,las vegas,lv01,36.1699,-115.1398,Omar,Zyny,Omar.zyny@mail.com,5241250556,Laptop,ASUS ROG,ASUS ROG Strix Scar 17,X358,1,1999.0,59.97,True,1999.0
40,2023-01-01,Syria,aleppo,al01,36.2021,37.1343,Husayn,Eubayd,HUSAYN.EUBAYD@MAIL.COM,5715369740,Digital Camera,Sony Alpha,Sony Alpha A6400,K923,8,899.0,503.44,True,7192.0
41,2023-01-01,USA,new york,ny01,40.7128,-74.006,Khalid,Abu,Khalid.abu@mail.com,5641023552,Laptop,Apple MacBook,"MacBook Pro 16""",U646,1,2399.0,23.99,False,2399.0
42,2023-01-01,Saudi Arabia,jeddah,jd02,21.4858,39.1925,Muhamad,Eurman,muhamad.eurman@mail.com,5107468690,Smartwatch,Huawei Watch,Huawei Watch GT 3 Pro,H574,1,349.0,24.43,False,349.0
43,2023-01-01,Egypt,cairo,cr02,30.0444,31.2357,Husam,Earabi,husam.earabi@mail.com,5089090827,Smartphone,Xiaomi Redmi,Xiaomi Redmi 10,L025,1,199.0,3.98,False,199.0
44,2023-01-01,USA,washington,wh01,38.9072,-77.0369,Anwar,Alaya,anwar.alaya@mail.com,5196386412,Fitness Tracker,Garmin Vivosmart,Garmin Vivosmart 4,R021,1,129.0,10.32,True,129.0
45,2023-01-01,Syria,damascus,ds02,33.5146,36.3084,Alaa,Aleaqla,Alaa.aleaqla@mail.com,5875603344,Laptop,ASUS ROG,ASUS ROG Zephyrus G14,L106,1,1299.0,38.97,False,1299.0
46,2023-01-01,Morocco,casablanca,cs01,33.5731,7.5898,Lwy,Alhasan,lwy.alhasan@mail.com,5124835707,VR Headset,HP Reverb G2 Omnicept,HP Reverb G2 Omnicept,Y940,1,799.0,31.96,False,799.0
47,2023-01-01,Egypt,cairo,cr03,30.0444,31.2357,Mazin,Ayman,mazin.ayman@mail.com,5802259188,Smart Speaker,JBL Link,JBL Link 20,X358,1,99.0,5.94,True,99.0
48,2023-01-01,United Arab Emirates,abu dhabi,ad02,24.4764,54.3705,Abd alruhmin,Alaishhab,abd alruhmin.alaishhab@mail.com,5842234163,Smartwatch,Samsung Galaxy,Galaxy Watch Active 2,X856,1,249.0,24.9,True,249.0
49,2023-01-01,Morocco,casablanca,cs01,33.5731,7.5898,Mari,Aleisaa,MARI.ALEISAA@MAIL.COM,5252041239,Fitness Tracker,Withings Move,Withings Move,J408,12,59.0,7.08,False,708.0
50,2023-01-01,Syria,damascus,ds02,33.5146,36.3084,Zayn,Bwalsibae,zayn.bwalsibae@mail.com,5897050689,Smartwatch,Garmin Venu,Garmin Venu 2S,H016,1,349.0,6.98,True,349.0
51,2023-01-01,USA,las vegas,lv01,36.1699,-115.1398,Rwbyna,Qisam,RWBYNA.QISAM@MAIL.COM,5005862331,Gaming Console,Sony PlayStation,PlayStation 4 Pro,S190,13,399.0,103.74,True,5187.0
52,2023-01-01,Saudi Arabia,jeddah,jd02,21.4858,39.1925,Alaa,Dwalyby,Alaa.dwalyby@mail.com,5715167065,Tablet,Samsung Galaxy Tab,Galaxy Tab S7,R660,3,649.0,194.7,True,1947.0
53,2023-01-01,Morocco,casablanca,cs01,33.5731,7.5898,Jihad,Maeruf,jihad.maeruf@mail.com,5616554637,Smartphone,OnePlus,OnePlus 10 Pro,J345,1,999.0,0.0,True,999.0
54,2023-01-01,United Arab Emirates,dubai,db01,25.2048,55.2708,Iin,Kafa,Iin.kafa@mail.com,5315580289,Smart Speaker,Google Nest,Nest Audio,K140,1,99.0,9.9,True,99.0
55,2023-01-01,Saudi Arabia,aseer,as01,18.2311,42.5004,Duhana,Almala,DUHANA.ALMALA@MAIL.COM,5538116114,Tablet,Amazon Fire HD,Amazon Fire HD 8 Plus,J264,1,129.0,12.9,False,129.0
56,2023-01-01,United Arab Emirates,abu dhabi,ad02,24.4764,54.3705,Hasan,Khalf,hasan.khalf@mail.com,5761536601,VR Headset,Valve Index,Valve Index VR Kit 2,S149,4,1199.0,287.76,False,4796.0
57,2023-01-01,Saudi Arabia,dammam,dm01,26.3927,49.9777,Omar,Dawara,OMAR.DAWARA@MAIL.COM,5883193232,VR Headset,HTC Vive,HTC Vive Cosmos Elite,Z502,2,899.0,107.88,True,1798.0
58,2023-01-01,Egypt,cairo,cr02,30.0444,31.2357,Suzan,Alhamadii,SUZAN.ALHAMADII@MAIL.COM,5730032583,Smartphone,Xiaomi Redmi,Xiaomi Redmi Note 11 Pro,F340,2,299.0,0.0,True,598.0
59,2023-01-01,Saudi Arabia,jeddah,jd01,21.5433,39.1728,Lilas,Aghasi,lilas.aghasi@mail.com,5277786111,Laptop,HP Pavilion,HP Pavilion x360,L700,1,649.0,12.98,False,649.0
60,2023-01-01,United Arab Emirates,dubai,db01,25.2048,55.2708,Tariq,Aldiyn,TARIQ.ALDIYN@MAIL.COM,5177009849,Smart Speaker,Sonos One,Sonos Move,G229,1,399.0,23.94,True,399.0
61,2023-01-01,United Arab Emirates,dubai,db02,25.2048,55.2708,Faras,Abu eadlh,faras.abu eadlh@mail.com,5202710065,Tablet,Amazon Fire,Amazon Fire 7,P412,1,49.0,3.92,True,49.0
62,2023-01-01,Egypt,cairo,cr02,30.0444,31.2357,Ahmad,Marwan,AHMAD.MARWAN@MAIL.COM,5490402136,Laptop,Microsoft Surface,Surface Laptop 4,P344,1,1299.0,38.97,True,1299.0
63,2023-01-01,Saudi Arabia,dammam,dm01,26.3927,49.9777,Ayham,Almala,Ayham.almala@mail.com,5759531759,Digital Camera,Nikon Coolpix,Nikon Coolpix P1000,C787,10,999.0,699.3,True,9990.0
64,2023-01-01,Saudi Arabia,dammam,dm01,26.3927,49.9777,Khalil,Tyru,KHALIL.TYRU@MAIL.COM,5643656831,Smartphone,OnePlus,OnePlus Nord 2,P255,1,399.0,39.9,False,399.0
65,2023-01-01,USA,new york,ny03,40.7498,-73.9814,Fulla,Earabi,fulla.earabi@mail.com,5768090582,Smart Speaker,Amazon Echo,Echo Dot (4th Gen),S855,1,49.0,0.49,True,49.0
66,2023-01-01,Syria,aleppo,al01,36.2021,37.1343,Salam,Alhizae,Salam.alhizae@mail.com,5992166009,Smartwatch,Huawei Watch,Huawei Watch Fit 2 Pro,S348,2,129.0,2.58,True,258.0
67,2023-01-01,Saudi Arabia,riyadh,rd01,24.7136,46.6753,Lana,Hujah,lana.hujah@mail.com,5066581909,Headphones,Sennheiser HD,Sennheiser HD 800 S,S501,1,1699.0,67.96,False,1699.0
68,2023-01-01,Saudi Arabia,jeddah,jd01,21.5433,39.1728,Faras,Eaziza,Faras.eaziza@mail.com,5254766131,Laptop,Lenovo ThinkPad,ThinkPad X13,Z227,1,999.0,19.98,True,999.0
69,2023-01-01,USA,washington,wh01,38.9072,-77.0369,Tariq,Ayman,tariq.ayman@mail.com,5641374246,Laptop,Lenovo ThinkPad,ThinkPad X13,J073,1,999.0,29.97,True,999.0
70,2023-01-01,Syria,damascus,ds02,33.5146,36.3084,Almuetaz,Hmshw,almuetaz.hmshw@mail.com,5967938548,Digital Camera,Nikon Coolpix,Nikon Coolpix P1000,S395,1,999.0,29.97,True,999.0
71,2023-01-01,Saudi Arabia,jeddah,jd03,21.4858,39.1925,Lwna,Khalifih,LWNA.KHALIFIH@MAIL.COM,5951713797,Fitness Tracker,Garmin Approach,Garmin Approach S12,Y998,2,199.0,11.94,True,398.0
72,2023-01-01,USA,washington,wh01,38.9072,-77.0369,Abd alruhmin,Malik,Abd Alruhmin.malik@mail.com,5227079276,Tablet,Samsung Galaxy Tab,Galaxy Tab A7,Y590,2,179.0,35.8,False,358.0
73,2023-01-01,United Arab Emirates,abu dhabi,ad02,24.4764,54.3705,Diea,Salah,Diea.salah@mail.com,5979821790,VR Headset,HTC Vive,HTC Vive Cosmos,Y958,1,699.0,55.92,True,699.0
74,2023-01-01,Egypt,cairo,cr02,30.0444,31.2357,Muhamad,Alnuwri,muhamad.alnuwri@mail.com,5235233631,VR Headset,Oculus Rift,Oculus Rift S,O247,1,399.0,15.96,True,399.0
75,2023-01-01,United Arab Emirates,dubai,db02,25.2048,55.2708,Muhamad,Bradey,MUHAMAD.BRADEY@MAIL.COM,5416347570,Smartphone,Samsung Galaxy,Galaxy S21 Ultra,B966,1,1199.0,59.95,True,1199.0
76,2023-01-01,Saudi Arabia,jeddah,jd02,21.4858,39.1925,Tariq,Almisri,tariq.almisri@mail.com,5872051164,Fitness Tracker,Amazfit GTR,Amazfit GTR 3,Y446,1,169.0,16.9,True,169.0
77,2023-01-01,Egypt,cairo,cr03,30.0444,31.2357,Dinana,Alealiu,dinana.alealiu@mail.com,5460866676,Smart Speaker,Harman Kardon,Harman Kardon Citation,Y247,2,199.0,23.88,False,398.0
78,2023-01-01,Saudi Arabia,jeddah,jd03,21.4858,39.1925,Muhamad,Alkhawam,muhamad.alkhawam@mail.com,5408416345,Smartwatch,Garmin Forerunner,Garmin Forerunner 945,H574,1,599.0,41.93,True,599.0
79,2023-01-01,Saudi Arabia,jeddah,jd02,21.4858,39.1925,Ahmad,Bara,AHMAD.BARA@MAIL.COM,5406450504,Smart Speaker,Apple HomePod,Apple HomePod,J345,1,299.0,11.96,True,299.0
80,2023-01-01,Saudi Arabia,jeddah,jd03,21.4858,39.1925,Bidralidin,Zakianiin,BIDRALIDIN.ZAKIANIIN@MAIL.COM,5601517756,Smartphone,Apple iPhone,iPhone SE,Z764,13,399.0,414.96,True,5187.0
81,2023-01-01,Saudi Arabia,aseer,as01,18.2311,42.5004,Emam,Qisam,Emam.qisam@mail.com,5374918663,Gaming Console,Sony PlayStation,PlayStation 5,E715,1,499.0,19.96,True,499.0
82,2023-01-01,Syria,aleppo,al01,36.2021,37.1343,Rim,Hamdan,rim.hamdan@mail.com,5420204828,Smartwatch,Samsung Galaxy,Galaxy Watch Active 2,Y518,1,249.0,2.49,True,249.0
83,2023-01-01,USA,new york,ny01,40.7128,-74.006,Salim,Astitih,salim.astitih@mail.com,5653066044,Smartphone,Apple iPhone,iPhone 12,E804,1,899.0,89.9,True,899.0
84,2023-01-01,USA,new york,ny02,40.7312,-73.9998,Khalid,Eilwan,Khalid.eilwan@mail.com,5674931724,VR Headset,Oculus Rift S,Oculus Rift 2,Z612,1,499.0,0.0,True,499.0
85,2023-01-01,United Arab Emirates,abu dhabi,ad03,24.4539,54.3773,Zahir,Nasir,ZAHIR.NASIR@MAIL.COM,5191191123,Gaming Console,Microsoft Xbox,Xbox Series S,B715,1,299.0,0.0,True,299.0
86,2023-01-01,France,paris,ps01,48.8566,2.3522,Rim,Almisri,rim.almisri@mail.com,5761025250,Digital Camera,Sony Alpha,Sony Alpha A6400,C793,1,899.0,71.92,True,899.0
87,2023-01-01,USA,las vegas,lv01,36.1699,-115.1398,Lama,Aldiyn,Lama.aldiyn@mail.com,5451275428,Laptop,Lenovo ThinkPad,ThinkPad X1 Carbon,I738,1,1499.0,89.94,False,1499.0
88,2023-01-01,Egypt,cairo,cr02,30.0444,31.2357,Ahmad,Abunfis,AHMAD.ABUNFIS@MAIL.COM,5024005877,Tablet,Apple iPad,iPad Air,L841,1,649.0,38.94,True,649.0
89,2023-01-01,Saudi Arabia,aseer,as01,18.2311,42.5004,Mahir,Aljuju,MAHIR.ALJUJU@MAIL.COM,5412259157,Smartphone,Google Pixel,Google Pixel 5a,X610,1,499.0,14.97,False,499.0
90,2023-01-01,United Arab Emirates,dubai,db02,25.2048,55.2708,Sandurana,Alrifaei,SANDURANA.ALRIFAEI@MAIL.COM,5639518624,Smart Speaker,Apple HomePod,Apple HomePod mini,U806,1,99.0,0.0,True,99.0
91,2023-01-01,USA,washington,wh01,38.9072,-77.0369,Jalal,Hajl,Jalal.hajl@mail.com,5548217255,VR Headset,Pimax Vision,Pimax Vision 5K Super Plus,C793,2,999.0,139.86,True,1998.0
92,2023-01-01,USA,las vegas,lv01,36.1699,-115.1398,Muwmin,Altaynawi,Muwmin.altaynawi@mail.com,5182382071,Gaming Console,Sony PlayStation,PlayStation 3,L106,1,199.0,7.96,False,199.0
93,2023-01-01,USA,new york,ny03,40.7498,-73.9814,Muhamad,Tyzry,Muhamad.tyzry@mail.com,5533873263,Fitness Tracker,Fitbit Versa,Fitbit Versa 3,L028,1,229.0,13.74,True,229.0
94,2023-01-01,Syria,homs,hs01,34.7326,36.7136,Duhana,Aljabr,DUHANA.ALJABR@MAIL.COM,5833822647,Headphones,Anker Soundcore,Anker Soundcore Liberty Air 2 Pro,X906,1,99.0,7.92,True,99.0
95,2023-01-01,Egypt,asyut,at01,27.1809,31.1837,Rama,Maeruf,rama.maeruf@mail.com,5809262053,Headphones,Bose QuietComfort,QC35 II,N658,13,299.0,310.96,False,3887.0
96,2023-01-02,Egypt,cairo,cr02,30.0444,31.2357,Muhamad,Alsyd,Muhamad.alsyd@mail.com,5890038465,VR Headset,Oculus Quest,Oculus Quest 2 (256GB),E301,1,399.0,7.98,True,399.0
97,2023-01-02,Saudi Arabia,jeddah,jd01,21.5433,39.1728,Alaa,Alshiyraziu,ALAA.ALSHIYRAZIU@MAIL.COM,5420598454,Fitness Tracker,Huawei Band,Huawei Band 4 Pro,N969,1,49.0,0.0,True,49.0
98,2023-01-02,Egypt,asyut,at01,27.1809,31.1837,Faras,Hamuwd,Faras.hamuwd@mail.com,5852825629,Digital Camera,Sony Alpha,Sony Alpha A6400,B265,2,899.0,0.0,False,1798.0
99,2023-01-02,Saudi Arabia,aseer,as01,18.2311,42.5004,Duhana,Alhabis,DUHANA.ALHABIS@MAIL.COM,5954736246,Smart Speaker,Harman Kardon,Harman Kardon Allure,J753,1,249.0,7.47,True,249.0
100,2023-01-02,United Arab Emirates,abu dhabi,ad03,24.4539,54.3773,Rwad,Eazu,Rwad.eazu@mail.com,5901766106,Smartwatch,Fossil Gen,Fossil Gen 5E,M073,1,199.0,13.93,True,199.0
101,2023-01-02,USA,las vegas,lv01,36.1699,-115.1398,Ahmad,Jamul,Ahmad.jamul@mail.com,5727579337,Smartphone,Google Pixel,Google Pixel 6 Pro,K012,1,899.0,71.92,True,899.0
102,2023-01-02,Saudi Arabia,jeddah,jd02,21.4858,39.1925,Eala,Alhilaq,EALA.ALHILAQ@MAIL.COM,5252930963,VR Headset,HTC Vive Pro,HTC Vive Pro 2,M137,1,1099.0,76.93,False,1099.0
103,2023-01-02,Saudi Arabia,jeddah,jd03,21.4858,39.1925,Bilal,Aljawfani,bilal.aljawfani@mail.com,5111389515,Gaming Console,Nintendo Switch,Nintendo Switch OLED Pro,L412,2,449.0,89.8,True,898.0
104,2023-01-02,Saudi Arabia,dammam,dm01,26.3927,49.9777,Antuan,Eurman,ANTUAN.EURMAN@MAIL.COM,5331028196,Gaming Console,Sony PlayStation,PlayStation 3 Slim,I917,1,199.0,3.98,True,199.0
105,2023-01-02,France,paris,ps01,48.8566,2.3522,Lama,Brnbu,LAMA.BRNBU@MAIL.COM,5490218451,Gaming Console,Microsoft Xbox,Xbox One X,U290,1,299.0,5.98,False,299.0
106,2023-01-02,Syria,homs,hs01,34.7326,36.7136,Tana,Almala,Tana.almala@mail.com,5979595963,VR Headset,HTC Vive,HTC Vive Cosmos,G599,1,699.0,13.98,True,699.0
107,2023-01-02,United Arab Emirates,abu dhabi,ad02,24.4764,54.3705,Eala,Qahraman,eala.qahraman@mail.com,5389769101,Smartphone,Samsung Galaxy,Galaxy M32,I838,1,249.0,17.43,True,249.0
108,2023-01-02,Saudi Arabia,riyadh,rd01,24.7136,46.6753,Sabah,Qaziyha,Sabah.qaziyha@mail.com,5640508149,Laptop,Dell XPS,XPS 15,D873,1,1599.0,47.97,True,1599.0
109,2023-01-02,France,paris,ps02,48.8566,2.3522,Ailya,Alrahil,ailya.alrahil@mail.com,5273897147,Tablet,Microsoft Surface,Surface Go 2,I470,1,399.0,39.9,True,399.0
110,2023-01-02,USA,las vegas,lv01,36.1699,-115.1398,Rabye',Abuhani,Rabye'.abuhani@mail.com,5739930646,Fitness Tracker,Withings Move,Withings Move,R426,1,59.0,2.36,False,59.0
111,2023-01-02,Syria,aleppo,al01,36.2021,37.1343,Muhamad,Aleabd,MUHAMAD.ALEABD@MAIL.COM,5878378742,Laptop,Apple MacBook,"MacBook Air 13""",N639,12,999.0,239.76,True,11988.0
112,2023-01-02,USA,new york,ny03,40.7498,-73.9814,Omar,Alealbi,OMAR.ALEALBI@MAIL.COM,5974119187,Headphones,Bose SoundSport,Bose SoundSport Free,E365,1,179.0,5.37,True,179.0
113,2023-01-02,USA,las vegas,lv01,36.1699,-115.1398,Muhamad,Aljuju,muhamad.aljuju@mail.com,5165641820,Laptop,HP Pavilion,HP Pavilion 15,G557,1,799.0,15.98,True,799.0
114,2023-01-02,Saudi Arabia,dammam,dm01,26.3927,49.9777,Ehab,Alghumyan,Ehab.alghumyan@mail.com,5505632614,Smart Speaker,Sonos One,Sonos One SL,L700,1,179.0,7.16,False,179.0
115,2023-01-02,Saudi Arabia,aseer,as01,18.2311,42.5004,Mazin,Alkhayran,MAZIN.ALKHAYRAN@MAIL.COM,5848984857,Fitness Tracker,Garmin Approach,Garmin Approach S62,N985,2,499.0,69.86,True,998.0
116,2023-01-02,Egypt,asyut,at01,27.1809,31.1837,Jamal,Sybea,jamal.sybea@mail.com,5517090877,Digital Camera,Nikon Z Series,Nikon Z50,C787,1,799.0,47.94,True,799.0
117,2023-01-02,Egypt,asyut,at01,27.1809,31.1837,Diea,Muayid,DIEA.MUAYID@MAIL.COM,5073056992,Fitness Tracker,Fitbit Charge,Fitbit Charge 4,H016,1,149.0,8.94,True,149.0
118,2023-01-02,Syria,aleppo,al01,36.2021,37.1343,Muhamad,Iidlibi,MUHAMAD.IIDLIBI@MAIL.COM,5733738176,Headphones,Sennheiser HD,Sennheiser HD 599 SE,R236,1,199.0,19.9,False,199.0
119,2023-01-02,Saudi Arabia,aseer,as01,18.2311,42.5004,Eala,Aldahan,Eala.aldahan@mail.com,5565816259,Tablet,Samsung Galaxy Tab,Galaxy Tab S7,B112,1,649.0,51.92,False,649.0
120,2023-01-02,United Arab Emirates,abu dhabi,ad02,24.4764,54.3705,Amir,Alhiwat,Amir.alhiwat@mail.com,5646606574,Digital Camera,Olympus OM-D,Olympus OM-D E-M1 Mark III,I729,1,1999.0,99.95,False,1999.0
121,2023-01-02,USA,las vegas,lv01,36.1699,-115.1398,Lama,Alkhatib,LAMA.ALKHATIB@MAIL.COM,5819727639,Smartwatch,Fossil Gen,Fossil Gen 6,L106,2,299.0,41.86,True,598.0
122,2023-01-02,USA,las vegas,lv01,36.1699,-115.1398,Muhamad,Alsaediu,Muhamad.alsaediu@mail.com,5609395601,Fitness Tracker,Fitbit Charge,Fitbit Charge 3,U470,1,99.0,5.94,True,99.0
